Distribution Date,Territory Name,Track Id,Track Title,Source,Music User,Split %,Total Payable,Total Units,,
7/1/20,United States,15612678,TUNNEL VISION,OTHER,PELOTON,100,0.4,8906,,
7/1/20,United States,16046698,TOGETHER,OTHER,SONGPOP,100,0.01,2371,,
7/1/20,United States,21376176,THIS ME FUCK IT FEAT 2 CHAINZ,STREAMING,SOUNDCLOUD,100,0.01,780,,
7/1/20,United States,15612639,BLUE OCEAN FLOOR,STREAMING,SOUNDCLOUD,100,0.02,313,,
7/1/20,United States,15612667,DON T HOLD THE WALL,STREAMING,SOUNDCLOUD,100,0.02,341,,
7/1/20,United States,16729881,DRINK YOU AWAY,STREAMING,SOUNDCLOUD,100,0.01,280,,
7/1/20,United States,14974381,HANDS IN THE AIR,STREAMING,SOUNDCLOUD,100,0.01,282,,
7/1/20,United States,16031516,JAY Z BLUE,STREAMING,SOUNDCLOUD,100,0.01,482,,
7/1/20,United States,16760490,KNOW BOUT ME,STREAMING,SOUNDCLOUD,100,0.01,127,,
7/1/20,United States,15665130,LET THE GROOVE IN,STREAMING,SOUNDCLOUD,100,0.01,263,,
7/1/20,United States,15506656,MIRRORS,STREAMING,SOUNDCLOUD,100,0.38,7849,,
7/1/20,United States,16965368,NOT A BAD THING,STREAMING,SOUNDCLOUD,100,0.05,959,,
7/1/20,United States,16031507,PICASSO BABY,STREAMING,SOUNDCLOUD,100,0.02,780,,
7/1/20,United States,15612645,PUSHER LOVE GIRL,STREAMING,SOUNDCLOUD,100,0.02,412,,
7/1/20,United States,16822553,ROCKET,STREAMING,SOUNDCLOUD,100,0.07,1506,,
7/1/20,United States,20933008,SMILE,STREAMING,SOUNDCLOUD,100,0.01,105,,
7/1/20,United States,15612689,SPACESHIP COUPE,STREAMING,SOUNDCLOUD,100,0.01,235,,
7/1/20,United States,15507329,STRAWBERRY BUBBLEGUM,STREAMING,SOUNDCLOUD,100,0.01,531,,
7/1/20,United States,16157089,TAKE BACK THE NIGHT,STREAMING,SOUNDCLOUD,100,0.02,336,,
7/1/20,United States,15665131,THAT GIRL,STREAMING,SOUNDCLOUD,100,0.01,343,,
7/1/20,United States,21376176,THIS ME FUCK IT FEAT 2 CHAINZ,STREAMING,SOUNDCLOUD,100,0.01,81,,
7/1/20,United States,16031508,TOM FORD,STREAMING,SOUNDCLOUD,100,0.05,2477,,
7/1/20,United States,15612678,TUNNEL VISION,STREAMING,SOUNDCLOUD,100,0.03,628,,
7/1/20,United States,16242755,WOODS,STREAMING,SOUNDCLOUD,100,0.02,323,,
7/1/20,United States,21308737,YEAH I SAID IT,STREAMING,SOUNDCLOUD,100,0.11,3630,,
7/1/20,United States,16965370,YOU GOT IT ON,STREAMING,SOUNDCLOUD,100,0.01,189,,
7/1/20,United States,13416593,ALL NIGHT LONG,OTHER,SPOTIFY FAMILY,100,0.21,13970,,
7/1/20,United States,16965371,AMNESIA,OTHER,SPOTIFY FAMILY,100,0.29,30319,,
7/1/20,United States,18878438,AROUND THE CLOCK,OTHER,SPOTIFY FAMILY,100,0.02,1150,,
7/1/20,United States,15612639,BLUE OCEAN FLOOR,OTHER,SPOTIFY FAMILY,100,0.58,60574,,
7/1/20,United States,23400765,BODY,OTHER,SPOTIFY FAMILY,100,0.38,19980,,
7/1/20,United States,14068171,BREAK YA BACK,OTHER,SPOTIFY FAMILY,100,0.01,767,,
7/1/20,United States,16965369,CABARET,OTHER,SPOTIFY FAMILY,100,0.14,37277,,
7/1/20,United States,15612667,DON T HOLD THE WALL,OTHER,SPOTIFY FAMILY,100,0.65,67868,,
7/1/20,United States,16729881,DRINK YOU AWAY,OTHER,SPOTIFY FAMILY,100,3.03,316930,,
7/1/20,United States,23591624,DUST MY SHOULDERS OFF,OTHER,SPOTIFY FAMILY,100,0.13,6862,,
7/1/20,United States,16965372,ELECTRIC LADY,OTHER,SPOTIFY FAMILY,100,0.05,5536,,
7/1/20,United States,13685374,FASCINATED,OTHER,SPOTIFY FAMILY,100,0.01,1238,,
7/1/20,United States,16965364,GIMME WHAT I DON T KNOW I WANT,OTHER,SPOTIFY FAMILY,100,0.21,22090,,
7/1/20,United States,15794951,GROWN WOMAN,OTHER,SPOTIFY FAMILY,100,0.01,923,,
7/1/20,United States,14974381,HANDS IN THE AIR,OTHER,SPOTIFY FAMILY,100,0.32,33548,,
7/1/20,United States,16240677,I DON T HAVE TO SLEEP TO DREAM,OTHER,SPOTIFY FAMILY,100,0.01,1056,,
7/1/20,United States,19279883,IF THEY KNEW,OTHER,SPOTIFY FAMILY,100,0.24,7377,,
7/1/20,United States,16760490,KNOW BOUT ME,OTHER,SPOTIFY FAMILY,100,0.12,12558,,
7/1/20,United States,15665130,LET THE GROOVE IN,OTHER,SPOTIFY FAMILY,100,0.66,69234,,
7/1/20,United States,15506656,MIRRORS,OTHER,SPOTIFY FAMILY,100,18.78,1964946,,
7/1/20,United States,20094132,MOVIN BASS,OTHER,SPOTIFY FAMILY,100,0.69,72184,,
7/1/20,United States,16965366,MURDER,OTHER,SPOTIFY FAMILY,100,0.29,30677,,
7/1/20,United States,16965368,NOT A BAD THING,OTHER,SPOTIFY FAMILY,100,1.87,195489,,
7/1/20,United States,13957979,PASS AT ME,OTHER,SPOTIFY FAMILY,100,0.09,9874,,
7/1/20,United States,16031507,PICASSO BABY,OTHER,SPOTIFY FAMILY,100,0.2,52641,,
